REG_NAME;REG_CODE;DIST_NAME;DIS_CODE
Banadir;22;Banadir;22
Banadir;22;Daynile;22
Banadir;22;Hodan;22
Banadir;22;Dharkenley;22
Awdal;11;Baki;1102
Awdal;11;Borama;1101
Awdal;11;Boroma;1101
Awdal;11;Lughaye;1103
Awdal;11;Zeylac;1104
Woqooyi Galbeed;12;Berbera;1202
Woqooyi Galbeed;12;Gebiley;1203
Woqooyi Galbeed;12;Hargeysa;1201
Togdheer;13;Bohoodle;1302
Togdheer;13;Buhoodle;1302
Togdheer;13;Burao;1301
Togdheer;13;Burco;1301
Togdheer;13;Buuhoodle;1302
Togdheer;13;Owdweyn;1303
Togdheer;13;Owdweyne;1303
Togdheer;13;Sheikh;1304
Sool;14;Ainabo;1402
Sool;14;Caynabo;1402
Sool;14;Laas Caanood;1401
Sool;14;Taleex;1403
Sool;14;Taalex;1403
Sool;14;Xudun;1404
Sanaag;15;Ceel Afweyn;1502
Sanaag;15;Ceel Afweyne;1502
Sanaag;15;Ceelafweyn;1502
Sanaag;15;Ceerigaabo;1501
Sanaag;15;Laasqoray;1503
Bari;16;Bandarbayla;1602
Bari;16;Bossaso;1601
Bari;16;Caluula;1603
Bari;16;Iskushuban;1604
Bari;16;Qandala;1605
Bari;16;Qardho;1606
Nugaal;17;Burtinle;1702
Nugaal;17;Eyl;1703
Nugaal;17;Garowe;1701
Mudug;18;Gaalkacyo;1801
Mudug;18;Galdogob;1802
Mudug;18;Galkacyo;1801
Mudug;18;Hobyo;1803
Mudug;18;Jariban;1804
Mudug;18;Jariiban;1804
Mudug;18;Xarardheere;1805
Galgaduud;19;Cabudwaaq;1902
Galgaduud;19;Cabudwaq;1902
Galgaduud;19;Cadaado;1903
Galgaduud;19;Ceel Buur;1904
Galgaduud;19;Ceelbur;1904
Galgaduud;19;Ceel Dheer;1905
Galgaduud;19;Dhuusamarreeb;1901
Hiraan;20;Belet Weyne;2001
Hiraan;20;Bulo Burti;2002
Hiraan;20;Bulo Burto;2002
Hiraan;20;Jalalaqsi;2003
Hiraan;20;Mahas;2004
Hiraan;20;Mataban;2005
Shabelle Dhexe;21;Adan Yabaal;2102
Shabelle Dhexe;21;Balcad;2103
Shabelle Dhexe;21;Cadale;2104
Shabelle Dhexe;21;Jowhar;2101
Banadir;22;Banadir;22
Shabelle Hoose;23;Afgooye;2302
Shabelle Hoose;23;Afgoye;2302
Shabelle Hoose;23;Baraawe;2303
Shabelle Hoose;23;Kurtunwaarey;2304
Shabelle Hoose;23;Kurtunwarey;2304
Shabelle Hoose;23;Marka;2301
Shabelle Hoose;23;Qoryooley;2305
Shabelle Hoose;23;Sablaale;2306
Shabelle Hoose;23;Wanla Weyn;2307
Shabelle Hoose;23;Wanla Weyne;2307
Bay;24;Baidao;2401
Bay;24;Baidoa;2401
Bay;24;Buur Hakaba;2402
Bay;24;Diinsoor;2403
Bay;24;Qansax Dheere;2404
Bay;24;Qasaxdhere;2404
Bakool;25;Ceel Barde;2502
Bakool;25;Rab Dhuure;2505
Bakool;25;Rab dhuure;2505
Bakool;25;Rabdhuure;2505
Bakool;25;Tayeeglow;2503
Bakool;25;Waajid;2504
Bakool;25;Wajid;2504
Bakool;25;Xudur;2501
Gedo;26;Baardheere;2602
Gedo;26;Baardheera;2602
Gedo;26;Bardhere;2602
Gedo;26;Belet Xaawo;2603
Gedo;26;Ceel Waaq;2604
Gedo;26;Doolow;2605
Gedo;26;Garbaharey;2601
Gedo;26;Luuq;2606
Juba Dhexe;27;Bu'aale;2701
Juba Dhexe;27;Jilib;2702
Juba Dhexe;27;Saakow;2703
Juba Hoose;28;Afmadow;2802
Juba Hoose;28;Badhaadhe;2803
Juba Hoose;28;Badhaade;2803
Juba Hoose;28;Jamaame;2804
Juba Hoose;28;Jamame;2804
Juba Hoose;28;Kismaayo;2801
Juba Hoose;28;Kismayo;2801
